Country;YearsCodingProf;DevType;Salary;SalaryType;CurrencySymbol
Spain;0-2 years;"Back-end developer;Front-end developer;Full-stack developer;Mobile developer;Student";24000;Yearly;EUR
Spain;3-5 years;Front-end developer;24000;Yearly;EUR
Spain;6-8 years;Back-end developer;28000;Yearly;EUR
Spain;3-5 years;"Back-end developer;Full-stack developer;QA or test developer;System administrator";30000;Yearly;EUR
Spain;18-20 years;"Back-end developer;Database administrator;Full-stack developer;System administrator";27000;Yearly;EUR
Spain;3-5 years;Back-end developer;22000;Yearly;EUR
Spain;3-5 years;"Back-end developer;C-suite executive (CEO, CTO, etc.);Front-end developer;Full-stack developer";32000;Yearly;EUR
Spain;0-2 years;"Front-end developer;Mobile developer";30000;Yearly;EUR
Spain;6-8 years;Back-end developer;30000;Yearly;EUR
Spain;6-8 years;"Back-end developer;Database administrator;Engineering manager";35000;Yearly;EUR
Spain;3-5 years;Back-end developer;30000;Yearly;EUR
Spain;3-5 years;"Back-end developer;Front-end developer;Full-stack developer";22000;Yearly;EUR
Spain;9-11 years;Back-end developer;58000;Yearly;EUR
Spain;6-8 years;"Back-end developer;Front-end developer;Game or graphics developer;Mobile developer";13000;Yearly;EUR
Spain;0-2 years;"Back-end developer;Database administrator;QA or test developer;Student";27000;Yearly;EUR
Spain;3-5 years;Front-end developer;35000;Yearly;EUR
Spain;0-2 years;Back-end developer;24000;Yearly;EUR
Spain;6-8 years;"Front-end developer;Mobile developer";47500;Yearly;EUR
Spain;6-8 years;"Back-end developer;DevOps specialist;Full-stack developer";33000;Yearly;EUR
Spain;9-11 years;"Back-end developer;C-suite executive (CEO, CTO, etc.);Database administrator;Desktop or enterprise applications developer;Front-end developer;Full-stack developer;Marketing or sales professional;System administrator";45000;Yearly;EUR
Spain;0-2 years;"Back-end developer;Front-end developer;Full-stack developer";27000;Yearly;EUR
Spain;15-17 years;"Back-end developer;Front-end developer;Full-stack developer;Mobile developer";36000;Yearly;EUR
Spain;9-11 years;"Back-end developer;DevOps specialist";45500;Yearly;EUR
Spain;12-14 years;"Back-end developer;Full-stack developer;QA or test developer";37000;Yearly;EUR
Spain;3-5 years;"Back-end developer;Designer;Embedded applications or devices developer;Front-end developer;QA or test developer";21000;Yearly;EUR
Spain;3-5 years;"Back-end developer;Front-end developer;Full-stack developer;Student";24000;Yearly;EUR
Spain;3-5 years;"Front-end developer;Full-stack developer";26000;Yearly;EUR
Spain;6-8 years;Back-end developer;65000;Yearly;EUR
Spain;15-17 years;"Back-end developer;DevOps specialist;Front-end developer;Full-stack developer";90000;Yearly;EUR
Spain;12-14 years;"Back-end developer;Data or business analyst;Data scientist or machine learning specialist;Database administrator;Front-end developer;Full-stack developer;System administrator";35000;Yearly;EUR
Spain;3-5 years;"Back-end developer;Full-stack developer";21000;Yearly;EUR
Spain;21-23 years;"Back-end developer;Desktop or enterprise applications developer;Engineering manager;Full-stack developer;Product manager";52000;Yearly;EUR
Spain;21-23 years;"Back-end developer;Front-end developer;Full-stack developer";43000;Yearly;EUR
Spain;6-8 years;"Front-end developer;Full-stack developer";40000;Yearly;EUR
Spain;9-11 years;"Back-end developer;Engineering manager;Front-end developer;Full-stack developer";35000;Yearly;EUR
Spain;3-5 years;"Back-end developer;Designer;Front-end developer;Full-stack developer";20000;Yearly;EUR
Spain;0-2 years;"Back-end developer;Desktop or enterprise applications developer";19000;Yearly;EUR
Spain;18-20 years;"Back-end developer;Desktop or enterprise applications developer;Front-end developer;Full-stack developer;Mobile developer";41000;Yearly;EUR
Spain;12-14 years;"Back-end developer;Database administrator;DevOps specialist;System administrator";25000;Yearly;EUR
Spain;18-20 years;Back-end developer;35000;Yearly;EUR
Spain;6-8 years;"Back-end developer;Data or business analyst;Data scientist or machine learning specialist;Full-stack developer";22000;Yearly;EUR
Spain;12-14 years;"Back-end developer;Desktop or enterprise applications developer;Front-end developer;Full-stack developer;Game or graphics developer;QA or test developer";34000;Yearly;EUR
Spain;3-5 years;"Back-end developer;Designer;Desktop or enterprise applications developer;Front-end developer;Full-stack developer;Mobile developer";31000;Yearly;EUR
Spain;3-5 years;"Back-end developer;Designer;Front-end developer;Full-stack developer;Student";15000;Yearly;EUR
Spain;12-14 years;"Back-end developer;Front-end developer;Full-stack developer";50000;Yearly;EUR
Spain;3-5 years;"Back-end developer;Desktop or enterprise applications developer;Full-stack developer";35000;Yearly;EUR
Spain;0-2 years;Back-end developer;17000;Yearly;EUR
Spain;9-11 years;"Back-end developer;Designer;Desktop or enterprise applications developer;DevOps specialist;Embedded applications or devices developer;Full-stack developer;System administrator";35000;Yearly;EUR
Spain;0-2 years;"Back-end developer;Mobile developer";25000;Yearly;EUR
Spain;15-17 years;Back-end developer;72000;Yearly;EUR
Spain;24-26 years;Back-end developer;36000;Yearly;EUR
Spain;9-11 years;"Back-end developer;Database administrator;DevOps specialist;Full-stack developer";35000;Yearly;EUR
Spain;3-5 years;"Back-end developer;Front-end developer";26000;Yearly;EUR
Spain;12-14 years;"Back-end developer;Front-end developer;Full-stack developer";33000;Yearly;EUR
Spain;9-11 years;"Back-end developer;Desktop or enterprise applications developer;Embedded applications or devices developer;Full-stack developer;Mobile developer;System administrator";42000;Yearly;EUR
Spain;15-17 years;Back-end developer;80000;Yearly;EUR
Spain;6-8 years;"Back-end developer;Designer;Desktop or enterprise applications developer;Front-end developer;Full-stack developer;Mobile developer";30000;Yearly;EUR
Spain;0-2 years;"Back-end developer;Student";27000;Yearly;EUR
Spain;15-17 years;"Back-end developer;Database administrator;Desktop or enterprise applications developer;Full-stack developer";30000;Yearly;EUR
Spain;9-11 years;"Back-end developer;DevOps specialist;Full-stack developer;QA or test developer";44000;Yearly;EUR
Spain;0-2 years;Back-end developer;16500;Yearly;EUR
Spain;6-8 years;Back-end developer;35000;Yearly;EUR
Spain;3-5 years;"Front-end developer;Full-stack developer";16000;Yearly;EUR
Spain;6-8 years;"Back-end developer;Mobile developer";42000;Yearly;EUR
Spain;3-5 years;"Back-end developer;DevOps specialist;Front-end developer;Full-stack developer";22000;Yearly;EUR
Spain;9-11 years;"Front-end developer;Full-stack developer";31000;Yearly;EUR
Spain;3-5 years;"Back-end developer;Mobile developer";23500;Yearly;EUR
Spain;15-17 years;"Back-end developer;Database administrator;Engineering manager;Product manager;QA or test developer";25000;Yearly;EUR
Spain;12-14 years;"Back-end developer;Database administrator;DevOps specialist;Front-end developer;Mobile developer;QA or test developer;System administrator";32000;Yearly;EUR
Spain;3-5 years;"Back-end developer;Data scientist or machine learning specialist;Database administrator;Full-stack developer";18000;Yearly;EUR
Spain;9-11 years;"Back-end developer;Desktop or enterprise applications developer;DevOps specialist;Engineering manager";45000;Yearly;EUR
Spain;0-2 years;"Back-end developer;Desktop or enterprise applications developer";18000;Yearly;EUR
Spain;6-8 years;"Back-end developer;Database administrator;Desktop or enterprise applications developer;DevOps specialist;Embedded applications or devices developer;Front-end developer;Full-stack developer;Game or graphics developer;Mobile developer;QA or test developer;System administrator";26500;Yearly;EUR
Spain;3-5 years;Front-end developer;48000;Yearly;EUR
Spain;6-8 years;"Back-end developer;Front-end developer;Full-stack developer";29000;Yearly;EUR
Spain;3-5 years;Front-end developer;26000;Yearly;EUR
Spain;9-11 years;"Back-end developer;Front-end developer;Full-stack developer;Mobile developer;QA or test developer";28000;Yearly;EUR
Spain;0-2 years;"Back-end developer;Front-end developer;Full-stack developer";12500;Yearly;EUR
Spain;9-11 years;"Desktop or enterprise applications developer;Front-end developer;Mobile developer";40000;Yearly;EUR
Spain;3-5 years;"Back-end developer;Front-end developer;Full-stack developer";41000;Yearly;EUR
Spain;9-11 years;Back-end developer;55000;Yearly;EUR
Spain;15-17 years;Back-end developer;27000;Yearly;EUR
